apertura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.0475	-2.5177	-12.99133	-1.81274	4.33044	3.22266
0.048	-10.0708	-8.7616	-1.40991	-0.60425	7.15027
0.0485	-12.48779	-7.75452	3.02124	5.74036	6.74744
0.049	-10.97717	-7.65381	0.20142	8.56018	4.63257
0.0495	-10.27222	-2.01416	-0.10071	7.15027	2.31628
0.05	-16.81824	-2.5177	-3.52478	5.23682	9.56726
0.0505	-17.01965	1.71204	-1.61133	9.76868	11.88354
0.051	-15.40833	-7.15027	5.33752	4.33044	7.95593
0.0515	-10.87646	-12.08496	3.32336	8.15735	9.36584
0.052	-11.68213	-9.97009	-0.60425	3.52478	13.39417
0.0525	-10.57434	-10.37292	2.11487	2.31628	11.98425
0.053	-8.96301	-8.7616	0.90637	7.5531	7.75452
0.0535	-12.48779	-3.8269	-1.40991	0.50354	6.94885
0.054	-8.35876	-5.43823	-2.01416	5.53894	3.7262
0.0545	-10.67505	-5.43823	5.33752	1.91345	5.13611
0.055	-11.07788	-8.15735	2.71912	4.53186	6.44531
0.0555	-9.86938	-5.84106	2.41699	5.13611	5.84106
0.056	-4.63257	-6.64673	-3.12195	2.31628	8.45947
0.0565	-4.73328	-2.5177	0.80566	-8.35876	2.01416
0.057	0.50354	3.7262	-3.12195	-1.81274	1.71204
0.0575	-2.61841	-2.61841	-1.3092	-5.53894	-8.35876
0.058	-3.52478	2.5177	-1.81274	-6.74744	-8.56018
0.0585	4.73328	6.14319	0.50354	-7.75452	-13.29346
0.059	8.56018	6.84814	-8.8623	-13.797	-8.35876
0.0595	13.19275	1.81274	-4.22974	-10.27222	-17.01965
0.06	12.68921	8.96301	-6.64673	-2.61841	-13.39417
0.0605	7.15027	9.06372	-0.20142	-8.66089	-9.97009
0.061	4.93469	2.5177	-1.61133	-7.25098	-3.12195
0.0615	0.70496	1.71204	-0.10071	-5.94177	-6.3446
0.062	2.71912	1.61133	1.81274	-2.92053	-8.56018
0.0625	1.81274	4.63257	-5.0354	-2.92053	-10.87646
0.063	1.00708	-1.91345	-0.90637	-5.0354	-9.97009
0.0635	0.70496	0.20142	1.51062	-7.5531	-3.12195
0.064	-2.61841	4.93469	7.5531	-4.22974	-2.31628
0.0645	-0.90637	-2.01416	0.70496	-5.13611	1.2085
0.065	-4.12903	-0.50354	-1.91345	-0.70496	-1.10779
0.0655	-5.63965	-4.73328	-1.81274	0.10071	0.70496
0.066	-1.51062	-8.15735	-7.95593	3.22266	-8.56018
0.0665	-0.30212	-12.78992	-7.85522	4.22974	-2.5177
0.067	-4.43115	-8.56018	-5.63965	6.54602	-10.77576
0.0675	-9.76868	-9.56726	1.51062	2.11487	-0.40283
0.068	-5.74036	-4.63257	-5.53894	-3.62549	-1.10779
0.0685	-4.73328	2.81982	2.31628	-2.61841	-1.10779
0.069	-3.02124	1.71204	-7.35168	-1.91345	0.90637
0.0695	-3.7262	1.3092	-3.42407	0.90637	2.81982
0.07	-2.61841	1.71204	0.20142	2.92053	-1.81274
0.0705	-1.00708	2.5177	1.00708	-0.80566	-6.84814
0.071	-3.7262	-0.10071	6.64673	-6.04248	-6.64673
0.0715	-7.35168	-5.63965	7.65381	-5.94177	-5.63965
0.072	-5.33752	-0.60425	-5.43823	-2.61841	-3.92761
0.0725	2.11487	0.70496	-2.01416	-5.84106	-7.35168
0.073	0.50354	4.33044	0.60425	-9.86938	-3.92761
0.0735	-1.10779	3.52478	-3.62549	-7.45239	-8.15735
0.074	0.10071	-3.42407	1.3092	-7.35168	-3.22266
0.0745	3.22266	2.5177	-6.3446	3.52478	-3.02124
0.075	3.7262	0.40283	-1.51062	-2.61841	-7.15027
0.0755	9.16443	-4.53186	0.50354	-7.04956	-4.33044
0.076	-0.80566	1.10779	1.00708	-8.35876	1.71204
0.0765	-0.80566	-4.43115	2.92053	-11.58142	0.30212
0.077	3.22266	-1.3092	6.64673	0	0.70496
0.0775	-4.33044	-2.61841	3.42407	-3.02124	-7.95593
0.078	0.90637	-2.11487	3.42407	-4.33044	-4.12903
0.0785	6.54602	-5.33752	11.17859	-0.50354	-6.74744
0.079	-0.60425	-5.84106	5.43823	-1.2085	-1.51062
0.0795	2.01416	-4.93469	0.30212	-0.50354	-0.10071
0.08	-3.62549	-6.3446	-0.10071	-2.71912	-0.10071
0.0805	-0.30212	-1.51062	-3.12195	-1.81274	-1.10779
0.081	-3.8269	4.53186	-0.20142	-1.40991	3.62549
0.0815	-5.23682	0.80566	0.80566	0.50354	4.83398
0.082	-2.71912	-2.21558	2.61841	4.83398	-2.81982
0.0825	-5.13611	-7.04956	-1.00708	8.05664	1.3092
0.083	-7.95593	-5.23682	-1.61133	5.63965	-2.5177
0.0835	-3.92761	-7.15027	-3.92761	-2.11487	1.71204
0.084	-5.33752	-12.78992	-4.63257	0.90637	-0.10071
0.0845	2.01416	-6.04248	-8.96301	7.25098	-3.52478
0.085	-4.33044	-1.3092	-2.41699	-0.30212	-0.10071
0.0855	-10.77576	-2.71912	-4.33044	-1.10779	-0.20142
0.086	-9.97009	-2.61841	-6.54602	-6.04248	-0.10071
0.0865	-3.12195	-0.30212	-9.06372	-3.7262	-1.3092
0.087	0.90637	-4.73328	-2.21558	-3.8269	-8.35876
0.0875	-2.31628	-6.44531	-7.45239	-7.95593	0.90637
0.088	-5.94177	-5.33752	-10.77576	-5.84106	5.63965
0.0885	0.10071	-7.85522	-7.04956	-2.71912	-1.00708
0.089	-6.94885	-5.13611	-2.71912	4.53186	-0.30212
0.0895	-6.84814	-1.10779	-4.63257	3.8269	-0.20142
0.09	-8.56018	-7.15027	2.21558	-0.10071	5.43823
0.0905	-7.65381	-1.51062	2.11487	-1.61133	1.40991
0.091	-10.37292	-1.91345	-1.10779	-5.53894	0.90637
0.0915	-14.40125	-2.71912	-1.2085	-1.61133	-0.10071
0.092	-16.51611	-6.74744	-7.65381	-0.10071	5.74036
0.0925	-13.99841	-7.85522	-5.53894	3.92761	5.33752
0.093	-12.38708	-5.74036	-5.63965	6.04248	4.43115
0.0935	-8.7616	-0.40283	-5.63965	4.73328	1.81274
0.094	-3.02124	-7.85522	-1.61133	5.43823	5.63965
0.0945	-6.2439	-5.13611	-7.45239	4.83398	6.94885
0.095	-13.797	-5.33752	-2.11487	1.40991	0
0.0955	-12.18567	-1.71204	-0.80566	6.64673	4.02832
0.096	-14.40125	-0.70496	2.92053	2.5177	2.5177
0.0965	-12.08496	-0.70496	4.93469	-1.10779	7.5531
0.097	-9.16443	-5.63965	8.15735	-3.52478	5.13611
0.0975	-8.45947	-6.44531	1.40991	-0.30212	-6.3446
0.098	-4.33044	-1.51062	-4.93469	0.80566	-5.74036
0.0985	-9.16443	-1.71204	0.40283	2.5177	-5.0354
0.099	-13.59558	3.92761	7.15027	3.32336	-7.15027
0.0995	-11.78284	0.70496	-3.7262	0.70496	-5.13611
0.1	-3.8269	1.2085	2.41699	-3.22266	-4.63257
0.1005	-4.12903	2.21558	-2.11487	0	-2.92053
0.101	4.12903	-3.92761	-5.53894	-4.63257	-12.28638
0.1015	4.63257	-0.30212	-0.10071	-3.92761	-7.35168
0.102	6.2439	2.5177	-4.33044	-1.00708	-7.35168
0.1025	4.12903	2.92053	1.81274	-4.12903	-9.36584
0.103	2.61841	0.60425	5.33752	-8.35876	-3.52478
0.1035	2.5177	-5.33752	-0.90637	-3.7262	-4.83398
0.104	9.36584	-5.94177	2.81982	-0.90637	-2.71912
0.1045	-1.61133	-7.95593	1.91345	-5.13611	-0.90637
0.105	2.11487	-2.21558	6.14319	0.90637	-4.53186
0.1055	-1.10779	-4.33044	-6.74744	5.74036	-5.94177
0.106	-3.52478	-12.08496	1.10779	3.42407	-4.33044
0.1065	-6.14319	-2.21558	-0.10071	6.74744	-1.91345
0.107	-2.11487	-1.81274	-2.01416	3.22266	-4.12903
0.1075	-0.30212	-0.70496	-3.7262	-5.13611	-7.25098
0.108	-2.11487	-1.10779	5.53894	-7.25098	-9.06372
