chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.0475	-9.66797	-3.02124	-6.64673	-3.22266	-0.10071
0.048	-5.63965	-7.5531	-0.10071	0.20142	4.43115
0.0485	-8.96301	-5.74036	2.61841	-1.10779	0.40283
0.049	-10.97717	-6.54602	1.40991	0.70496	-2.21558
0.0495	-9.86938	-5.74036	-0.20142	1.3092	-0.10071
0.05	-3.52478	0.10071	0.50354	2.01416	7.15027
0.0505	-4.73328	-2.71912	-1.71204	2.5177	-1.3092
0.051	-7.15027	-3.7262	3.32336	7.5531	-4.12903
0.0515	-7.35168	-5.84106	0.60425	0.70496	-8.25806
0.052	-5.33752	-8.45947	-1.81274	8.66089	-4.02832
0.0525	-8.15735	-7.95593	-0.90637	-0.40283	-2.61841
0.053	-5.33752	-1.91345	0.30212	-9.97009	2.11487
0.0535	3.42407	-2.92053	-5.74036	-17.22107	16.71753
0.054	5.43823	-4.53186	-5.94177	-19.63806	11.48071
0.0545	-2.61841	-8.15735	-0.40283	-22.45789	1.51062
0.055	-3.7262	-4.43115	3.42407	-8.7616	-4.12903
0.0555	-5.74036	-0.10071	5.33752	-5.84106	-0.70496
0.056	-6.64673	3.32336	3.22266	-2.21558	0.80566
0.0565	-6.2439	-2.71912	3.62549	-1.3092	-1.51062
0.057	-8.96301	-3.52478	1.81274	4.02832	5.43823
0.0575	-13.99841	-7.15027	-0.60425	-0.30212	6.04248
0.058	-13.99841	-6.3446	1.51062	2.01416	-0.10071
0.0585	-12.99133	-3.52478	1.71204	-1.10779	9.16443
0.059	-11.2793	-2.5177	2.81982	-1.3092	15.71045
0.0595	-19.83948	-3.92761	6.44531	-5.13611	15.20691
0.06	-9.56726	-5.13611	-0.40283	-4.63257	17.32178
0.0605	-11.78284	-8.15735	-1.00708	0	17.01965
0.061	-12.89062	-8.96301	5.23682	1.71204	9.66797
0.0615	-10.77576	-6.94885	-5.43823	-2.41699	4.33044
0.062	-14.09912	-7.35168	-6.44531	3.7262	6.94885
0.0625	-11.58142	-4.02832	-4.73328	7.5531	9.16443
0.063	-9.26514	-7.5531	-5.43823	6.64673	10.37292
0.0635	-7.35168	-5.74036	4.93469	8.25806	5.0354
0.064	-16.41541	-11.98425	-2.31628	9.36584	2.31628
0.0645	-10.57434	-5.74036	-2.61841	1.91345	4.43115
0.065	-13.59558	-7.35168	-0.90637	4.63257	1.71204
0.0655	-11.07788	-5.0354	-3.62549	0.70496	4.53186
0.066	-8.66089	-12.78992	-2.5177	-2.81982	-3.12195
0.0665	-6.3446	0.80566	0.60425	-8.96301	-1.51062
0.067	-7.04956	-0.10071	-8.56018	0.70496	0
0.0675	-2.61841	-4.22974	-1.51062	-3.7262	-6.74744
0.068	-0.10071	-0.90637	-0.80566	4.22974	-10.77576
0.0685	-2.11487	0.90637	2.31628	-1.71204	-14.50195
